time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-25 00:00:00+00:00,8.0,5.0,10.0,5.0
2025-02-26 00:00:00+00:00,6.0,3.0,52.0,4.0
2025-02-27 00:00:00+00:00,6.0,4.0,3.0,3.0
2025-02-28 00:00:00+00:00,4.0,2.0,7.0,4.0
2025-03-01 00:00:00+00:00,6.0,3.0,20.0,1.0
2025-03-02 00:00:00+00:00,4.0,2.0,,
2025-03-03 00:00:00+00:00,4.0,3.0,21.0,4.0
2025-03-04 00:00:00+00:00,7.0,4.0,50.0,11.0
2025-03-05 00:00:00+00:00,4.0,3.0,26.0,3.0
2025-03-06 00:00:00+00:00,7.0,5.0,5.0,3.0
2025-03-07 00:00:00+00:00,2.0,2.0,4.0,2.0
2025-03-08 00:00:00+00:00,1.0,1.0,,
2025-03-09 00:00:00+00:00,2.0,2.0,,
2025-03-10 00:00:00+00:00,,,15.0,4.0
