x	y	z
0	0	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	12	1
0	13	1
0	14	1
0	15	1
0	16	1
0	17	1
0	18	1
0	19	1
0	20	1
0	21	1
0	22	1
0	23	1
0	24	1
0	25	1
0	26	1
0	27	1
0	28	1
0	29	1
0	30	1
0	31	1
0	32	1
0	33	1
0	34	1
0	35	1
0	36	1
0	37	1
0	38	1
0	39	1
0	40	1
0	41	1
0	42	1
0	43	1
0	44	1
0	45	1
0	46	1
0	47	1
0	48	1
0	49	1
0	50	1
0	51	1
0	52	1
0	53	1
0	54	1
0	55	1
0	56	1
0	57	1
0	58	1
0	59	1
0	60	1
0	61	1
0	62	1
0	63	1
0	64	1
0	65	1
0	66	1
0	67	1
0	68	1
0	69	1
0	70	1
0	71	1
1	0	1
1	71	1
2	0	1
2	71	1
3	0	1
3	71	1
4	0	1
4	71	1
5	0	1
5	71	1
6	0	1
6	71	1
7	0	1
7	71	1
8	0	1
8	71	1
9	0	1
9	71	1
10	0	1
10	71	1
11	0	1
11	71	1
12	0	1
12	71	1
13	0	1
13	71	1
14	0	1
14	71	1
15	0	1
15	71	1
16	0	1
16	71	1
17	0	1
17	71	1
18	0	1
18	71	1
19	0	1
19	71	1
20	0	1
20	71	1
21	0	1
21	71	1
22	0	1
22	71	1
23	0	1
23	71	1
24	0	1
24	71	1
25	0	1
25	71	1
26	0	1
26	71	1
27	0	1
27	71	1
28	0	1
28	71	1
29	0	1
29	71	1
30	0	1
30	71	1
31	0	1
31	71	1
32	0	1
32	71	1
33	0	1
33	71	1
34	0	1
34	71	1
35	0	1
35	71	1
36	0	1
36	71	1
37	0	1
37	71	1
38	0	1
38	71	1
39	0	1
39	71	1
40	0	1
40	71	1
41	0	1
41	71	1
42	0	1
42	71	1
43	0	1
43	71	1
44	0	1
44	71	1
45	0	1
45	71	1
46	0	1
46	71	1
47	0	1
47	71	1
48	0	1
48	71	1
49	0	1
49	71	1
50	0	1
50	71	1
51	0	1
51	71	1
52	0	1
52	71	1
53	0	1
53	71	1
54	0	1
54	71	1
55	0	1
55	71	1
56	0	1
56	71	1
57	0	1
57	71	1
58	0	1
58	71	1
59	0	1
59	71	1
60	0	1
60	71	1
61	0	1
61	71	1
62	0	1
62	71	1
63	0	1
63	71	1
64	0	1
64	71	1
65	0	1
65	71	1
66	0	1
66	71	1
67	0	1
67	71	1
68	0	1
68	71	1
69	0	1
69	71	1
70	0	1
70	71	1
71	0	1
71	1	1
71	2	1
71	3	1
71	4	1
71	5	1
71	6	1
71	7	1
71	8	1
71	9	1
71	10	1
71	11	1
71	12	1
71	13	1
71	14	1
71	15	1
71	16	1
71	17	1
71	18	1
71	19	1
71	20	1
71	21	1
71	22	1
71	23	1
71	24	1
71	25	1
71	26	1
71	27	1
71	28	1
71	29	1
71	30	1
71	31	1
71	32	1
71	33	1
71	34	1
71	35	1
71	36	1
71	37	1
71	38	1
71	39	1
71	40	1
71	41	1
71	42	1
71	43	1
71	44	1
71	45	1
71	46	1
71	47	1
71	48	1
71	49	1
71	50	1
71	51	1
71	52	1
71	53	1
71	54	1
71	55	1
71	56	1
71	57	1
71	58	1
71	59	1
71	60	1
71	61	1
71	62	1
71	63	1
71	64	1
71	65	1
71	66	1
71	67	1
71	68	1
71	69	1
71	70	1
71	71	1
