x,y,z,type
-670,-670,-10,0
-670,-650,-10,0
-670,-630,-10,0
-670,-610,-10,0
-670,-590,-10,0
-670,-570,-10,0
-670,-550,-10,0
-670,-530,-10,0
-670,-510,-10,0
-670,-490,-10,0
-670,-470,-10,0
-670,-450,-10,0
-670,-430,-10,0
-670,-410,-10,0
-670,-390,-10,0
-670,-370,-10,0
-670,-350,-10,0
-670,-330,-10,0
-670,-310,-10,0
-670,-290,-10,0
-670,-270,-10,0
-670,-250,-10,0
-670,-230,-10,0
-670,-210,-10,0
-670,-190,-10,0
-670,-170,-10,0
-670,-150,-10,0
-670,-130,-10,0
-670,-110,-10,0
-670,-90,-10,0
-670,-70,-10,0
-670,-50,-10,0
-670,-30,-10,0
-670,-10,-10,0
-670,10,-10,0
-670,30,-10,0
-670,50,-10,0
-670,70,-10,0
-670,90,-10,0
-670,110,-10,0
-670,130,-10,0
-670,150,-10,0
-670,170,-10,0
-670,190,-10,0
-670,210,-10,0
-670,230,-10,0
-670,250,-10,0
-670,270,-10,0
-670,290,-10,0
-670,310,-10,0
-670,330,-10,0
-670,350,-10,0
-670,370,-10,0
-670,390,-10,0
-670,410,-10,0
-670,430,-10,0
-670,450,-10,0
-670,470,-10,0
-670,490,-10,0
-670,510,-10,0
-670,530,-10,0
-670,550,-10,0
-670,570,-10,0
-670,590,-10,0
-670,610,-10,0
-670,630,-10,0
-670,650,-10,0
-670,670,-10,0
-650,-670,-10,0
-650,-650,-10,0
-650,-630,-10,0
-650,-610,-10,0
-650,-590,-10,0
-650,-570,-10,0
-650,-550,-10,0
-650,-530,-10,0
-650,-510,-10,0
-650,-490,-10,0
-650,-470,-10,0
-650,-450,-10,0
-650,-430,-10,0
-650,-410,-10,0
-650,-390,-10,0
-650,-370,-10,0
-650,-350,-10,0
-650,-330,-10,0
-650,-310,-10,0
-650,-290,-10,0
-650,-270,-10,0
-650,-250,-10,0
-650,-230,-10,0
-650,-210,-10,0
-650,-190,-10,0
-650,-170,-10,0
-650,-150,-10,0
-650,-130,-10,0
-650,-110,-10,0
-650,-90,-10,0
-650,-70,-10,0
-650,-50,-10,0
-650,-30,-10,0
-650,-10,-10,0
-650,10,-10,0
-650,30,-10,0
-650,50,-10,0
-650,70,-10,0
-650,90,-10,0
-650,110,-10,0
-650,130,-10,0
-650,150,-10,0
-650,170,-10,0
-650,190,-10,0
-650,210,-10,0
-650,230,-10,0
-650,250,-10,0
-650,270,-10,0
-650,290,-10,0
-650,310,-10,0
-650,330,-10,0
-650,350,-10,0
-650,370,-10,0
-650,390,-10,0
-650,410,-10,0
-650,430,-10,0
-650,450,-10,0
-650,470,-10,0
-650,490,-10,0
-650,510,-10,0
-650,530,-10,0
-650,550,-10,0
-650,570,-10,0
-650,590,-10,0
-650,610,-10,0
-650,630,-10,0
-650,650,-10,0
-650,670,-10,0
-630,-670,-10,0
-630,-650,-10,0
-630,-630,-10,0
-630,-610,-10,0
-630,-590,-10,0
-630,-570,-10,0
-630,-550,-10,0
-630,-530,-10,0
-630,-510,-10,0
-630,-490,-10,0
-630,-470,-10,0
-630,-450,-10,0
-630,-430,-10,0
-630,-410,-10,0
-630,-390,-10,0
-630,-370,-10,0
-630,-350,-10,0
-630,-330,-10,0
-630,-310,-10,0
-630,-290,-10,0
-630,-270,-10,0
-630,-250,-10,0
-630,-230,-10,0
-630,-210,-10,0
-630,-190,-10,0
-630,-170,-10,0
-630,-150,-10,0
-630,-130,-10,0
-630,-110,-10,0
-630,-90,-10,0
-630,-70,-10,0
-630,-50,-10,0
-630,-30,-10,0
-630,-10,-10,0
-630,10,-10,0
-630,30,-10,0
-630,50,-10,0
-630,70,-10,0
-630,90,-10,0
-630,110,-10,0
-630,130,-10,0
-630,150,-10,0
-630,170,-10,0
-630,190,-10,0
-630,210,-10,0
-630,230,-10,0
-630,250,-10,0
-630,270,-10,0
-630,290,-10,0
-630,310,-10,0
-630,330,-10,0
-630,350,-10,0
-630,370,-10,0
-630,390,-10,0
-630,410,-10,0
-630,430,-10,0
-630,450,-10,0
-630,470,-10,0
-630,490,-10,0
-630,510,-10,0
-630,530,-10,0
-630,550,-10,0
-630,570,-10,0
-630,590,-10,0
-630,610,-10,0
-630,630,-10,0
-630,650,-10,0
-630,670,-10,0
-610,-670,-10,0
-610,-650,-10,0
-610,-630,-10,0
-610,-610,-10,0
-610,-590,-10,0
-610,-570,-10,0
-610,-550,-10,0
-610,-530,-10,0
-610,-510,-10,0
-610,-490,-10,0
-610,-470,-10,0
-610,-450,-10,0
-610,-430,-10,0
-610,-410,-10,0
-610,-390,-10,0
-610,-370,-10,0
-610,-350,-10,0
-610,-330,-10,0
-610,-310,-10,0
-610,-290,-10,0
-610,-270,-10,0
-610,-250,-10,0
-610,-230,-10,0
-610,-210,-10,0
-610,-190,-10,0
-610,-170,-10,0
-610,-150,-10,0
-610,-130,-10,0
-610,-110,-10,0
-610,-90,-10,0
-610,-70,-10,0
-610,-50,-10,0
-610,-30,-10,0
-610,-10,-10,0
-610,10,-10,0
-610,30,-10,0
-610,50,-10,0
-610,70,-10,0
-610,90,-10,0
-610,110,-10,0
-610,130,-10,0
-610,150,-10,0
-610,170,-10,0
-610,190,-10,0
-610,210,-10,0
-610,230,-10,0
-610,250,-10,0
-610,270,-10,0
-610,290,-10,0
-610,310,-10,0
-610,330,-10,0
-610,350,-10,0
-610,370,-10,0
-610,390,-10,0
-610,410,-10,0
-610,430,-10,0
-610,450,-10,0
-610,470,-10,0
-610,490,-10,0
-610,510,-10,0
-610,530,-10,0
-610,550,-10,0
-610,570,-10,0
-610,590,-10,0
-610,610,-10,0
-610,630,-10,0
-610,650,-10,0
-610,670,-10,0
-590,-670,-10,0
-590,-650,-10,0
-590,-630,-10,0
-590,-610,-10,0
-590,-590,-10,0
-590,-570,-10,0
-590,-550,-10,0
-590,-530,-10,0
-590,-510,-10,0
-590,-490,-10,0
-590,-470,-10,0
-590,-450,-10,0
-590,-430,-10,0
-590,-410,-10,0
-590,-390,-10,0
-590,-370,-10,0
-590,-350,-10,0
-590,-330,-10,0
-590,-310,-10,0
-590,-290,-10,0
-590,-270,-10,0
-590,-250,-10,0
-590,-230,-10,0
-590,-210,-10,0
-590,-190,-10,0
-590,-170,-10,0
-590,-150,-10,0
-590,-130,-10,0
-590,-110,-10,0
-590,-90,-10,0
-590,-70,-10,0
-590,-50,-10,0
-590,-30,-10,0
-590,-10,-10,0
-590,10,-10,0
-590,30,-10,0
-590,50,-10,0
-590,70,-10,0
-590,90,-10,0
-590,110,-10,0
-590,130,-10,0
-590,150,-10,0
-590,170,-10,0
-590,190,-10,0
-590,210,-10,0
-590,230,-10,0
-590,250,-10,0
-590,270,-10,0
-590,290,-10,0
-590,310,-10,0
-590,330,-10,0
-590,350,-10,0
-590,370,-10,0
