x	y	z
0	0	0
0	0	1
0	0	2
0	0	3
0	0	4
0	0	5
0	0	6
0	1	0
0	1	1
0	1	2
0	1	3
0	1	4
0	1	5
0	1	6
0	2	0
0	2	1
0	2	2
0	2	3
0	2	4
0	2	5
0	2	6
0	3	0
0	3	1
0	3	2
0	3	3
0	3	4
0	3	5
0	3	6
0	4	0
0	4	1
0	4	2
0	4	3
0	4	4
0	4	5
0	4	6
0	5	0
0	5	1
0	5	2
0	5	3
0	5	4
0	5	5
0	5	6
0	6	0
0	6	1
0	6	2
0	6	3
0	6	4
0	6	5
0	6	6
0	7	0
0	7	1
0	7	2
0	7	3
0	7	4
0	7	5
0	7	6
0	8	0
0	8	1
0	8	2
0	8	3
0	8	4
0	8	5
0	8	6
0	9	0
0	9	1
0	9	2
0	9	3
0	9	4
0	9	5
0	9	6
0	10	0
0	10	1
0	10	2
0	10	3
0	10	4
0	10	5
0	10	6
0	11	0
0	11	1
0	11	2
0	11	3
0	11	4
0	11	5
0	11	6
0	12	0
0	12	1
0	12	2
0	12	3
0	12	4
0	12	5
0	12	6
0	13	0
0	13	1
0	13	2
0	13	3
0	13	4
0	13	5
0	13	6
0	14	0
0	14	1
0	14	2
0	14	3
0	14	4
0	14	5
0	14	6
0	15	0
0	15	1
0	15	2
0	15	3
0	15	4
0	15	5
0	15	6
0	16	0
0	16	1
0	16	2
0	16	3
0	16	4
0	16	5
0	16	6
0	17	0
0	17	1
0	17	2
0	17	3
0	17	4
0	17	5
0	17	6
0	18	0
0	18	1
0	18	2
0	18	3
0	18	4
0	18	5
0	18	6
0	19	0
0	19	1
0	19	2
0	19	3
0	19	4
0	19	5
0	19	6
0	20	0
0	20	1
0	20	2
0	20	3
0	20	4
0	20	5
0	20	6
0	21	0
0	21	1
0	21	2
0	21	3
0	21	4
0	21	5
0	21	6
0	22	0
0	22	1
0	22	2
0	22	3
0	22	4
0	22	5
0	22	6
0	23	0
0	23	1
0	23	2
0	23	3
0	23	4
0	23	5
0	23	6
0	24	0
0	24	1
0	24	2
0	24	3
0	24	4
0	24	5
0	24	6
0	25	0
0	25	1
0	25	2
0	25	3
0	25	4
0	25	5
0	25	6
0	26	0
0	26	1
0	26	2
0	26	3
0	26	4
0	26	5
0	26	6
0	27	0
0	27	1
0	27	2
0	27	3
0	27	4
0	27	5
0	27	6
0	28	0
0	28	1
0	28	2
0	28	3
0	28	4
0	28	5
0	28	6
0	29	0
0	29	1
0	29	2
0	29	3
0	29	4
0	29	5
0	29	6
0	30	0
0	30	1
0	30	2
0	30	3
0	30	4
0	30	5
0	30	6
0	31	0
0	31	1
0	31	2
0	31	3
0	31	4
0	31	5
0	31	6
0	32	0
0	32	1
0	32	2
0	32	3
0	32	4
0	32	5
0	32	6
0	33	0
0	33	1
0	33	2
0	33	3
0	33	4
0	33	5
0	33	6
0	34	0
0	34	1
0	34	2
0	34	3
0	34	4
0	34	5
0	34	6
0	35	0
0	35	1
0	35	2
0	35	3
0	35	4
0	35	5
0	35	6
0	36	0
0	36	1
0	36	2
0	36	3
0	36	4
0	36	5
0	36	6
0	37	0
0	37	1
0	37	2
0	37	3
0	37	4
0	37	5
0	37	6
0	38	0
0	38	1
0	38	2
0	38	3
0	38	4
0	38	5
0	38	6
0	39	0
0	39	1
0	39	2
0	39	3
0	39	4
0	39	5
0	39	6
0	40	0
0	40	1
0	40	2
0	40	3
0	40	4
0	40	5
0	40	6
0	41	0
0	41	1
0	41	2
0	41	3
0	41	4
0	41	5
0	41	6
0	42	0
0	42	1
0	42	2
0	42	3
0	42	4
0	42	5
0	42	6
0	43	0
0	43	1
0	43	2
0	43	3
0	43	4
0	43	5
0	43	6
0	44	0
0	44	1
0	44	2
0	44	3
0	44	4
0	44	5
0	44	6
0	45	0
0	45	1
0	45	2
0	45	3
0	45	4
0	45	5
0	45	6
0	46	0
0	46	1
0	46	2
0	46	3
0	46	4
0	46	5
0	46	6
0	47	0
0	47	1
0	47	2
0	47	3
0	47	4
0	47	5
0	47	6
0	48	0
0	48	1
0	48	2
0	48	3
0	48	4
0	48	5
0	48	6
0	49	0
0	49	1
0	49	2
0	49	3
0	49	4
0	49	5
0	49	6
0	50	0
0	50	1
0	50	2
0	50	3
0	50	4
0	50	5
0	50	6
0	51	0
0	51	1
0	51	2
0	51	3
0	51	4
0	51	5
0	51	6
0	52	0
0	52	1
0	52	2
0	52	3
0	52	4
0	52	5
0	52	6
0	53	0
0	53	1
0	53	2
0	53	3
0	53	4
0	53	5
0	53	6
0	54	0
0	54	1
0	54	2
0	54	3
0	54	4
0	54	5
0	54	6
0	55	0
0	55	1
0	55	2
0	55	3
0	55	4
0	55	5
0	55	6
0	56	0
0	56	1
0	56	2
0	56	3
0	56	4
0	56	5
0	56	6
0	57	0
0	57	1
0	57	2
0	57	3
0	57	4
0	57	5
0	57	6
0	58	0
0	58	1
0	58	2
0	58	3
0	58	4
0	58	5
0	58	6
0	59	0
0	59	1
0	59	2
0	59	3
0	59	4
0	59	5
0	59	6
0	60	0
0	60	1
0	60	2
0	60	3
0	60	4
0	60	5
0	60	6
0	61	0
0	61	1
0	61	2
0	61	3
0	61	4
0	61	5
0	61	6
0	62	0
0	62	1
0	62	2
0	62	3
0	62	4
0	62	5
0	62	6
0	63	0
0	63	1
0	63	2
0	63	3
0	63	4
0	63	5
0	63	6
0	64	0
0	64	1
0	64	2
0	64	3
0	64	4
0	64	5
0	64	6
0	65	0
0	65	1
0	65	2
0	65	3
0	65	4
0	65	5
0	65	6
0	66	0
0	66	1
0	66	2
0	66	3
0	66	4
0	66	5
0	66	6
0	67	0
0	67	1
0	67	2
0	67	3
0	67	4
0	67	5
0	67	6
0	68	0
0	68	1
0	68	2
0	68	3
0	68	4
0	68	5
0	68	6
0	69	0
0	69	1
0	69	2
0	69	3
0	69	4
0	69	5
0	69	6
0	70	0
0	70	1
0	70	2
0	70	3
0	70	4
0	70	5
0	70	6
0	71	0
0	71	1
0	71	2
0	71	3
0	71	4
0	71	5
0	71	6
1	0	0
1	0	1
1	0	2
1	0	3
1	0	4
1	0	5
1	0	6
1	1	0
1	1	6
1	2	0
1	2	6
1	3	0
1	3	6
1	4	0
1	4	6
1	5	0
1	5	6
1	6	0
1	6	6
1	7	0
1	7	6
1	8	0
1	8	6
1	9	0
1	9	6
1	10	0
1	10	6
1	11	0
1	11	6
1	12	0
1	12	6
1	13	0
1	13	6
1	14	0
1	14	6
1	15	0
1	15	6
1	16	0
1	16	6
1	17	0
1	17	6
1	18	0
1	18	6
1	19	0
1	19	6
1	20	0
1	20	6
1	21	0
1	21	6
1	22	0
1	22	6
1	23	0
1	23	6
1	24	0
1	24	6
1	25	0
1	25	6
1	26	0
1	26	6
1	27	0
1	27	6
1	28	0
1	28	6
1	29	0
1	29	6
1	30	0
1	30	6
1	31	0
1	31	6
1	32	0
1	32	6
1	33	0
1	33	6
1	34	0
1	34	6
1	35	0
1	35	6
1	36	0
1	36	6
1	37	0
1	37	6
1	38	0
1	38	6
1	39	0
1	39	6
1	40	0
1	40	6
1	41	0
1	41	6
1	42	0
1	42	6
1	43	0
1	43	6
1	44	0
1	44	6
1	45	0
1	45	6
1	46	0
1	46	6
1	47	0
1	47	6
1	48	0
1	48	6
1	49	0
1	49	6
1	50	0
1	50	6
1	51	0
1	51	6
1	52	0
1	52	6
1	53	0
1	53	6
1	54	0
1	54	6
1	55	0
1	55	6
1	56	0
1	56	6
1	57	0
1	57	6
1	58	0
1	58	6
1	59	0
1	59	6
1	60	0
1	60	6
1	61	0
1	61	6
1	62	0
1	62	6
1	63	0
1	63	6
1	64	0
1	64	6
1	65	0
1	65	6
1	66	0
1	66	6
1	67	0
1	67	6
1	68	0
1	68	6
1	69	0
1	69	6
1	70	0
1	70	6
1	71	0
1	71	1
1	71	2
1	71	3
1	71	4
1	71	5
1	71	6
2	0	0
2	0	1
2	0	2
2	0	3
2	0	4
2	0	5
2	0	6
2	1	0
2	1	6
2	2	0
2	2	6
2	3	0
2	3	6
2	4	0
2	4	6
2	5	0
2	5	6
2	6	0
2	6	6
2	7	0
2	7	6
2	8	0
2	8	6
2	9	0
2	9	6
2	10	0
2	10	6
2	11	0
2	11	6
2	12	0
2	12	6
2	13	0
2	13	6
2	14	0
2	14	6
2	15	0
2	15	6
2	16	0
2	16	6
2	17	0
2	17	6
2	18	0
2	18	6
2	19	0
2	19	6
2	20	0
2	20	6
2	21	0
2	21	6
2	22	0
2	22	6
2	23	0
2	23	6
2	24	0
2	24	6
2	25	0
2	25	6
2	26	0
2	26	6
2	27	0
2	27	6
2	28	0
2	28	6
2	29	0
2	29	6
2	30	0
2	30	6
2	31	0
2	31	6
2	32	0
2	32	6
2	33	0
2	33	6
2	34	0
2	34	6
2	35	0
2	35	6
2	36	0
2	36	6
2	37	0
2	37	6
2	38	0
2	38	6
2	39	0
2	39	6
2	40	0
2	40	6
2	41	0
2	41	6
2	42	0
2	42	6
2	43	0
2	43	6
2	44	0
2	44	6
2	45	0
2	45	6
2	46	0
2	46	6
2	47	0
2	47	6
2	48	0
2	48	6
2	49	0
2	49	6
2	50	0
2	50	6
2	51	0
2	51	6
2	52	0
2	52	6
2	53	0
2	53	6
2	54	0
2	54	6
2	55	0
2	55	6
2	56	0
2	56	6
2	57	0
2	57	6
2	58	0
2	58	6
2	59	0
2	59	6
2	60	0
2	60	6
2	61	0
2	61	6
2	62	0
2	62	6
2	63	0
2	63	6
2	64	0
2	64	6
2	65	0
2	65	6
2	66	0
2	66	6
2	67	0
2	67	6
2	68	0
2	68	6
2	69	0
2	69	6
2	70	0
2	70	6
2	71	0
2	71	1
2	71	2
2	71	3
2	71	4
2	71	5
2	71	6
3	0	0
3	0	1
3	0	2
3	0	3
3	0	4
3	0	5
3	0	6
3	1	0
3	1	6
3	2	0
3	2	6
3	3	0
3	3	6
3	4	0
3	4	6
3	5	0
3	5	6
3	6	0
3	6	6
3	7	0
3	7	6
3	8	0
3	8	6
3	9	0
3	9	6
3	10	0
3	10	6
3	11	0
3	11	6
3	12	0
3	12	6
3	13	0
3	13	6
3	14	0
3	14	6
3	15	0
3	15	6
3	16	0
3	16	6
3	17	0
3	17	6
3	18	0
3	18	6
3	19	0
3	19	6
3	20	0
3	20	6
3	21	0
3	21	6
3	22	0
3	22	6
3	23	0
3	23	6
3	24	0
3	24	6
