x	y	z
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
0	8	0
0	9	0
0	10	0
0	11	0
0	12	0
0	13	0
0	14	0
0	15	0
0	16	0
0	17	0
0	18	0
0	19	0
0	20	0
0	21	0
0	22	0
0	23	0
0	24	0
0	25	0
0	26	0
0	27	0
0	28	0
0	29	0
0	30	0
0	31	0
0	32	0
0	33	0
0	34	0
0	35	0
0	36	0
0	37	0
0	38	0
0	39	0
1	0	0
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
1	25	0
1	26	0
1	27	0
1	28	0
1	29	0
1	30	0
1	31	0
1	32	0
1	33	0
1	34	0
1	35	0
1	36	0
1	37	0
1	38	0
1	39	0
2	0	0
2	1	0
2	38	0
2	39	0
3	0	0
3	1	0
3	38	0
3	39	0
4	0	0
4	1	0
4	38	0
4	39	0
5	0	0
5	1	0
5	38	0
5	39	0
6	0	0
6	1	0
6	38	0
6	39	0
7	0	0
7	1	0
7	38	0
7	39	0
8	0	0
8	1	0
8	38	0
8	39	0
9	0	0
9	1	0
9	38	0
9	39	0
10	0	0
10	1	0
10	38	0
10	39	0
11	0	0
11	1	0
11	38	0
11	39	0
12	0	0
12	1	0
12	38	0
12	39	0
13	0	0
13	1	0
13	38	0
13	39	0
14	0	0
14	1	0
14	38	0
14	39	0
15	0	0
15	1	0
15	38	0
15	39	0
16	0	0
16	1	0
16	38	0
16	39	0
17	0	0
17	1	0
17	38	0
17	39	0
18	0	0
18	1	0
18	38	0
18	39	0
19	0	0
19	1	0
19	38	0
19	39	0
20	0	0
20	1	0
20	38	0
20	39	0
21	0	0
21	1	0
21	38	0
21	39	0
22	0	0
22	1	0
22	38	0
22	39	0
23	0	0
23	1	0
23	38	0
23	39	0
24	0	0
24	1	0
24	38	0
24	39	0
25	0	0
25	1	0
25	38	0
25	39	0
26	0	0
26	1	0
26	38	0
26	39	0
27	0	0
27	1	0
27	38	0
27	39	0
28	0	0
28	1	0
28	38	0
28	39	0
29	0	0
29	1	0
29	38	0
29	39	0
30	0	0
30	1	0
30	38	0
30	39	0
31	0	0
31	1	0
31	38	0
31	39	0
32	0	0
32	1	0
32	38	0
32	39	0
33	0	0
33	1	0
33	38	0
33	39	0
34	0	0
34	1	0
34	38	0
34	39	0
35	0	0
35	1	0
35	38	0
35	39	0
36	0	0
36	1	0
36	38	0
36	39	0
37	0	0
37	1	0
37	38	0
37	39	0
38	0	0
38	1	0
38	2	0
38	3	0
38	4	0
38	5	0
38	6	0
38	7	0
38	8	0
38	9	0
38	10	0
38	11	0
38	12	0
38	13	0
38	14	0
38	15	0
38	16	0
38	17	0
38	18	0
38	19	0
38	20	0
38	21	0
38	22	0
38	23	0
38	24	0
38	25	0
38	26	0
38	27	0
38	28	0
38	29	0
38	30	0
38	31	0
38	32	0
38	33	0
38	34	0
38	35	0
38	36	0
38	37	0
38	38	0
38	39	0
39	0	0
39	1	0
39	2	0
39	3	0
39	4	0
39	5	0
39	6	0
39	7	0
39	8	0
39	9	0
39	10	0
39	11	0
39	12	0
39	13	0
39	14	0
39	15	0
39	16	0
39	17	0
39	18	0
39	19	0
39	20	0
39	21	0
39	22	0
39	23	0
39	24	0
39	25	0
39	26	0
39	27	0
39	28	0
39	29	0
39	30	0
39	31	0
39	32	0
39	33	0
39	34	0
39	35	0
39	36	0
39	37	0
39	38	0
39	39	0
