x,y,z,type
-670,-670,-10,epithelial
-670,-650,-10,epithelial
-670,-630,-10,epithelial
-670,-610,-10,epithelial
-670,-590,-10,epithelial
-670,-570,-10,epithelial
-670,-550,-10,epithelial
-670,-530,-10,epithelial
-670,-510,-10,epithelial
-670,-490,-10,epithelial
-670,-470,-10,epithelial
-670,-450,-10,epithelial
-670,-430,-10,epithelial
-670,-410,-10,epithelial
-670,-390,-10,epithelial
-670,-370,-10,epithelial
-670,-350,-10,epithelial
-670,-330,-10,epithelial
-670,-310,-10,epithelial
-670,-290,-10,epithelial
-670,-270,-10,epithelial
-670,-250,-10,epithelial
-670,-230,-10,epithelial
-670,-210,-10,epithelial
-670,-190,-10,epithelial
-670,-170,-10,epithelial
-670,-150,-10,epithelial
-670,-130,-10,epithelial
-670,-110,-10,epithelial
-670,-90,-10,epithelial
-670,-70,-10,epithelial
-670,-50,-10,epithelial
-670,-30,-10,epithelial
-670,-10,-10,epithelial
-670,10,-10,epithelial
-670,30,-10,epithelial
-670,50,-10,epithelial
-670,70,-10,epithelial
-670,90,-10,epithelial
-670,110,-10,epithelial
-670,130,-10,epithelial
-670,150,-10,epithelial
-670,170,-10,epithelial
-670,190,-10,epithelial
-670,210,-10,epithelial
-670,230,-10,epithelial
-670,250,-10,epithelial
-670,270,-10,epithelial
-670,290,-10,epithelial
-670,310,-10,epithelial
-670,330,-10,epithelial
-670,350,-10,epithelial
-670,370,-10,epithelial
-670,390,-10,epithelial
-670,410,-10,epithelial
-670,430,-10,epithelial
-670,450,-10,epithelial
-670,470,-10,epithelial
-670,490,-10,epithelial
-670,510,-10,epithelial
-670,530,-10,epithelial
-670,550,-10,epithelial
-670,570,-10,epithelial
-670,590,-10,epithelial
-670,610,-10,epithelial
-670,630,-10,epithelial
-670,650,-10,epithelial
-670,670,-10,epithelial
-650,-670,-10,epithelial
-650,-650,-10,epithelial
-650,-630,-10,epithelial
-650,-610,-10,epithelial
-650,-590,-10,epithelial
-650,-570,-10,epithelial
-650,-550,-10,epithelial
-650,-530,-10,epithelial
-650,-510,-10,epithelial
-650,-490,-10,epithelial
-650,-470,-10,epithelial
-650,-450,-10,epithelial
-650,-430,-10,epithelial
-650,-410,-10,epithelial
-650,-390,-10,epithelial
-650,-370,-10,epithelial
-650,-350,-10,epithelial
-650,-330,-10,epithelial
-650,-310,-10,epithelial
-650,-290,-10,epithelial
-650,-270,-10,epithelial
-650,-250,-10,epithelial
-650,-230,-10,epithelial
-650,-210,-10,epithelial
-650,-190,-10,epithelial
-650,-170,-10,epithelial
-650,-150,-10,epithelial
-650,-130,-10,epithelial
-650,-110,-10,epithelial
-650,-90,-10,epithelial
-650,-70,-10,epithelial
-650,-50,-10,epithelial
-650,-30,-10,epithelial
-650,-10,-10,epithelial
-650,10,-10,epithelial
-650,30,-10,epithelial
-650,50,-10,epithelial
-650,70,-10,epithelial
-650,90,-10,epithelial
-650,110,-10,epithelial
-650,130,-10,epithelial
-650,150,-10,epithelial
-650,170,-10,epithelial
-650,190,-10,epithelial
-650,210,-10,epithelial
-650,230,-10,epithelial
-650,250,-10,epithelial
-650,270,-10,epithelial
-650,290,-10,epithelial
-650,310,-10,epithelial
-650,330,-10,epithelial
-650,350,-10,epithelial
-650,370,-10,epithelial
-650,390,-10,epithelial
-650,410,-10,epithelial
-650,430,-10,epithelial
-650,450,-10,epithelial
-650,470,-10,epithelial
-650,490,-10,epithelial
-650,510,-10,epithelial
-650,530,-10,epithelial
-650,550,-10,epithelial
