x,y,z,type
-350,-330,-30,0
-350,-310,-30,0
-350,-290,-30,0
-350,-270,-30,0
-350,-250,-30,0
-350,-230,-30,0
-350,-210,-30,0
-350,-190,-30,0
-350,-170,-30,0
-350,-150,-30,0
-350,-130,-30,0
-350,-110,-30,0
-350,-90,-30,0
-350,-70,-30,0
-350,-50,-30,0
-350,-30,-30,0
-350,-10,-30,0
-350,10,-30,0
-350,30,-30,0
-350,50,-30,0
-350,70,-30,0
-350,90,-30,0
-350,110,-30,0
-350,130,-30,0
-350,150,-30,0
-350,170,-30,0
-350,190,-30,0
-350,210,-30,0
-350,230,-30,0
-350,250,-30,0
-350,270,-30,0
-350,290,-30,0
-350,310,-30,0
-350,330,-30,0
-330,-330,-30,0
-330,-310,-30,0
-330,-290,-30,0
-330,-270,-30,0
-330,-250,-30,0
-330,-230,-30,0
-330,-210,-30,0
-330,-190,-30,0
-330,-170,-30,0
-330,-150,-30,0
-330,-130,-30,0
-330,-110,-30,0
-330,-90,-30,0
-330,-70,-30,0
-330,-50,-30,0
-330,-30,-30,0
-330,-10,-30,0
-330,10,-30,0
-330,30,-30,0
-330,50,-30,0
-330,70,-30,0
-330,90,-30,0
-330,110,-30,0
-330,130,-30,0
-330,150,-30,0
-330,170,-30,0
-330,190,-30,0
-330,210,-30,0
-330,230,-30,0
-330,250,-30,0
-330,270,-30,0
-330,290,-30,0
-330,310,-30,0
-330,330,-30,0
-310,-330,-30,0
-310,-310,-30,0
-310,-290,-30,0
-310,-270,-30,0
-310,-250,-30,0
-310,-230,-30,0
-310,-210,-30,0
-310,-190,-30,0
-310,-170,-30,0
-310,-150,-30,0
-310,-130,-30,0
-310,-110,-30,0
-310,-90,-30,0
-310,-70,-30,0
-310,-50,-30,0
-310,-30,-30,0
-310,-10,-30,0
-310,10,-30,0
-310,30,-30,0
-310,50,-30,0
-310,70,-30,0
-310,90,-30,0
-310,110,-30,0
-310,130,-30,0
-310,150,-30,0
-310,170,-30,0
-310,190,-30,0
-310,210,-30,0
-310,230,-30,0
-310,250,-30,0
-310,270,-30,0
-310,290,-30,0
-310,310,-30,0
-310,330,-30,0
-290,-330,-30,0
-290,-310,-30,0
-290,-290,-30,0
-290,-270,-30,0
-290,-250,-30,0
-290,-230,-30,0
-290,-210,-30,0
-290,-190,-30,0
-290,-170,-30,0
-290,-150,-30,0
-290,-130,-30,0
-290,-110,-30,0
-290,-90,-30,0
-290,-70,-30,0
-290,-50,-30,0
-290,-30,-30,0
-290,-10,-30,0
-290,10,-30,0
-290,30,-30,0
-290,50,-30,0
-290,70,-30,0
-290,90,-30,0
-290,110,-30,0
-290,130,-30,0
-290,150,-30,0
-290,170,-30,0
-290,190,-30,0
-290,210,-30,0
-290,230,-30,0
-290,250,-30,0
-290,270,-30,0
-290,290,-30,0
-290,310,-30,0
-290,330,-30,0
-270,-330,-30,0
-270,-310,-30,0
-270,-290,-30,0
-270,-270,-30,0
-270,-250,-30,0
-270,-230,-30,0
-270,-210,-30,0
-270,-190,-30,0
-270,-170,-30,0
-270,-150,-30,0
-270,-130,-30,0
-270,-110,-30,0
-270,-90,-30,0
-270,-70,-30,0
-270,-50,-30,0
-270,-30,-30,0
-270,-10,-30,0
-270,10,-30,0
-270,30,-30,0
-270,50,-30,0
-270,70,-30,0
-270,90,-30,0
-270,110,-30,0
-270,130,-30,0
-270,150,-30,0
-270,170,-30,0
-270,190,-30,0
-270,210,-30,0
-270,230,-30,0
-270,250,-30,0
-270,270,-30,0
-270,290,-30,0
-270,310,-30,0
-270,330,-30,0
-250,-330,-30,0
-250,-310,-30,0
-250,-290,-30,0
-250,-270,-30,0
-250,-250,-30,0
-250,-230,-30,0
-250,-210,-30,0
-250,-190,-30,0
-250,-170,-30,0
-250,-150,-30,0
-250,-130,-30,0
-250,-110,-30,0
-250,-90,-30,0
-250,-70,-30,0
-250,-50,-30,0
-250,-30,-30,0
-250,-10,-30,0
-250,10,-30,0
-250,30,-30,0
-250,50,-30,0
-250,70,-30,0
-250,90,-30,0
-250,110,-30,0
-250,130,-30,0
-250,150,-30,0
-250,170,-30,0
-250,190,-30,0
-250,210,-30,0
-250,230,-30,0
-250,250,-30,0
-250,270,-30,0
-250,290,-30,0
-250,310,-30,0
-250,330,-30,0
-230,-330,-30,0
-230,-310,-30,0
-230,-290,-30,0
-230,-270,-30,0
-230,-250,-30,0
-230,-230,-30,0
-230,-210,-30,0
-230,-190,-30,0
-230,-170,-30,0
-230,-150,-30,0
-230,-130,-30,0
-230,-110,-30,0
-230,-90,-30,0
-230,-70,-30,0
-230,-50,-30,0
-230,-30,-30,0
-230,-10,-30,0
-230,10,-30,0
-230,30,-30,0
-230,50,-30,0
-230,70,-30,0
-230,90,-30,0
-230,110,-30,0
-230,130,-30,0
-230,150,-30,0
-230,170,-30,0
-230,190,-30,0
-230,210,-30,0
-230,230,-30,0
-230,250,-30,0
-230,270,-30,0
-230,290,-30,0
-230,310,-30,0
-230,330,-30,0
-210,-330,-30,0
-210,-310,-30,0
-210,-290,-30,0
-210,-270,-30,0
-210,-250,-30,0
-210,-230,-30,0
-210,-210,-30,0
-210,-190,-30,0
-210,-170,-30,0
-210,-150,-30,0
-210,-130,-30,0
-210,-110,-30,0
-210,-90,-30,0
-210,-70,-30,0
-210,-50,-30,0
-210,-30,-30,0
-210,-10,-30,0
-210,10,-30,0
-210,30,-30,0
-210,50,-30,0
-210,70,-30,0
-210,90,-30,0
-210,110,-30,0
-210,130,-30,0
-210,150,-30,0
-210,170,-30,0
-210,190,-30,0
-210,210,-30,0
-210,230,-30,0
-210,250,-30,0
-210,270,-30,0
-210,290,-30,0
-210,310,-30,0
-210,330,-30,0
-190,-330,-30,0
-190,-310,-30,0
-190,-290,-30,0
-190,-270,-30,0
-190,-250,-30,0
-190,-230,-30,0
-190,-210,-30,0
-190,-190,-30,0
-190,-170,-30,0
-190,-150,-30,0
-190,-130,-30,0
-190,-110,-30,0
-190,-90,-30,0
-190,-70,-30,0
-190,-50,-30,0
-190,-30,-30,0
-190,-10,-30,0
-190,10,-30,0
-190,30,-30,0
-190,50,-30,0
-190,70,-30,0
-190,90,-30,0
-190,110,-30,0
-190,130,-30,0
-190,150,-30,0
-190,170,-30,0
-190,190,-30,0
-190,210,-30,0
-190,230,-30,0
-190,250,-30,0
-190,270,-30,0
-190,290,-30,0
-190,310,-30,0
-190,330,-30,0
-170,-330,-30,0
-170,-310,-30,0
-170,-290,-30,0
-170,-270,-30,0
-170,-250,-30,0
-170,-230,-30,0
-170,-210,-30,0
-170,-190,-30,0
-170,-170,-30,0
-170,-150,-30,0
-170,-130,-30,0
-170,-110,-30,0
-170,-90,-30,0
-170,-70,-30,0
-170,-50,-30,0
-170,-30,-30,0
-170,-10,-30,0
-170,10,-30,0
-170,30,-30,0
-170,50,-30,0
-170,70,-30,0
-170,90,-30,0
-170,110,-30,0
-170,130,-30,0
-170,150,-30,0
-170,170,-30,0
-170,190,-30,0
-170,210,-30,0
-170,230,-30,0
-170,250,-30,0
-170,270,-30,0
-170,290,-30,0
-170,310,-30,0
-170,330,-30,0
-150,-330,-30,0
-150,-310,-30,0
-150,-290,-30,0
-150,-270,-30,0
-150,-250,-30,0
-150,-230,-30,0
-150,-210,-30,0
-150,-190,-30,0
-150,-170,-30,0
-150,-150,-30,0
-150,-130,-30,0
-150,-110,-30,0
-150,-90,-30,0
-150,-70,-30,0
-150,-50,-30,0
-150,-30,-30,0
-150,-10,-30,0
-150,10,-30,0
-150,30,-30,0
-150,50,-30,0
-150,70,-30,0
-150,90,-30,0
-150,110,-30,0
-150,130,-30,0
-150,150,-30,0
-150,170,-30,0
-150,190,-30,0
-150,210,-30,0
-150,230,-30,0
-150,250,-30,0
-150,270,-30,0
-150,290,-30,0
-150,310,-30,0
-150,330,-30,0
-130,-330,-30,0
-130,-310,-30,0
-130,-290,-30,0
-130,-270,-30,0
-130,-250,-30,0
-130,-230,-30,0
-130,-210,-30,0
-130,-190,-30,0
-130,-170,-30,0
-130,-150,-30,0
-130,-130,-30,0
-130,-110,-30,0
-130,-90,-30,0
-130,-70,-30,0
-130,-50,-30,0
-130,-30,-30,0
-130,-10,-30,0
-130,10,-30,0
-130,30,-30,0
-130,50,-30,0
-130,70,-30,0
-130,90,-30,0
-130,110,-30,0
-130,130,-30,0
-130,150,-30,0
-130,170,-30,0
-130,190,-30,0
-130,210,-30,0
-130,230,-30,0
-130,250,-30,0
-130,270,-30,0
-130,290,-30,0
-130,310,-30,0
-130,330,-30,0
-110,-330,-30,0
-110,-310,-30,0
-110,-290,-30,0
-110,-270,-30,0
-110,-250,-30,0
-110,-230,-30,0
-110,-210,-30,0
-110,-190,-30,0
-110,-170,-30,0
-110,-150,-30,0
-110,-130,-30,0
-110,-110,-30,0
-110,-90,-30,0
-110,-70,-30,0
-110,-50,-30,0
-110,-30,-30,0
-110,-10,-30,0
-110,10,-30,0
-110,30,-30,0
-110,50,-30,0
-110,70,-30,0
-110,90,-30,0
-110,110,-30,0
-110,130,-30,0
-110,150,-30,0
-110,170,-30,0
-110,190,-30,0
-110,210,-30,0
-110,230,-30,0
-110,250,-30,0
-110,270,-30,0
-110,290,-30,0
-110,310,-30,0
-110,330,-30,0
-90,-330,-30,0
-90,-310,-30,0
-90,-290,-30,0
-90,-270,-30,0
-90,-250,-30,0
-90,-230,-30,0
-90,-210,-30,0
-90,-190,-30,0
-90,-170,-30,0
-90,-150,-30,0
-90,-130,-30,0
-90,-110,-30,0
-90,-90,-30,0
-90,-70,-30,0
-90,-50,-30,0
-90,-30,-30,0
-90,-10,-30,0
-90,10,-30,0
