x	y	z
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
0	8	0
0	9	0
0	10	0
0	11	0
0	12	0
0	13	0
0	14	0
0	15	0
0	16	0
0	17	0
0	18	0
0	19	0
0	20	0
0	21	0
0	22	0
0	23	0
0	24	0
0	25	0
0	26	0
0	27	0
0	28	0
0	29	0
0	30	0
0	31	0
0	32	0
0	33	0
0	34	0
0	35	0
0	36	0
0	37	0
0	38	0
0	39	0
0	40	0
0	41	0
0	42	0
0	43	0
0	44	0
0	45	0
0	46	0
0	47	0
0	48	0
0	49	0
0	50	0
0	51	0
0	52	0
0	53	0
0	54	0
0	55	0
0	56	0
0	57	0
0	58	0
0	59	0
0	60	0
0	61	0
0	62	0
0	63	0
0	64	0
0	65	0
0	66	0
0	67	0
0	68	0
0	69	0
0	70	0
0	71	0
1	0	0
1	71	0
2	0	0
2	71	0
3	0	0
3	71	0
4	0	0
4	71	0
5	0	0
5	71	0
6	0	0
6	71	0
7	0	0
7	71	0
8	0	0
8	71	0
9	0	0
9	71	0
10	0	0
10	71	0
11	0	0
11	71	0
12	0	0
12	71	0
13	0	0
13	71	0
14	0	0
14	71	0
15	0	0
15	71	0
16	0	0
16	71	0
17	0	0
17	71	0
18	0	0
18	71	0
19	0	0
19	71	0
20	0	0
20	71	0
21	0	0
21	71	0
22	0	0
22	71	0
23	0	0
23	71	0
24	0	0
24	71	0
25	0	0
25	71	0
26	0	0
26	71	0
27	0	0
27	71	0
28	0	0
28	71	0
29	0	0
29	71	0
30	0	0
30	71	0
31	0	0
31	71	0
32	0	0
32	71	0
33	0	0
33	71	0
34	0	0
34	71	0
35	0	0
35	71	0
36	0	0
36	71	0
37	0	0
37	71	0
38	0	0
38	71	0
39	0	0
39	71	0
40	0	0
40	71	0
41	0	0
41	71	0
42	0	0
42	71	0
43	0	0
43	71	0
44	0	0
44	71	0
45	0	0
45	71	0
46	0	0
46	71	0
47	0	0
47	71	0
48	0	0
48	71	0
49	0	0
49	71	0
50	0	0
50	71	0
51	0	0
51	71	0
52	0	0
52	71	0
53	0	0
53	71	0
54	0	0
54	71	0
55	0	0
55	71	0
56	0	0
56	71	0
57	0	0
57	71	0
58	0	0
58	71	0
59	0	0
59	71	0
60	0	0
60	71	0
61	0	0
61	71	0
62	0	0
62	71	0
63	0	0
63	71	0
64	0	0
64	71	0
65	0	0
65	71	0
66	0	0
66	71	0
67	0	0
67	71	0
68	0	0
68	71	0
69	0	0
69	71	0
70	0	0
70	71	0
71	0	0
71	1	0
71	2	0
71	3	0
71	4	0
71	5	0
71	6	0
71	7	0
71	8	0
71	9	0
71	10	0
71	11	0
71	12	0
71	13	0
71	14	0
71	15	0
71	16	0
71	17	0
71	18	0
71	19	0
71	20	0
71	21	0
71	22	0
71	23	0
71	24	0
71	25	0
71	26	0
71	27	0
71	28	0
71	29	0
71	30	0
71	31	0
71	32	0
71	33	0
71	34	0
71	35	0
71	36	0
71	37	0
71	38	0
71	39	0
71	40	0
71	41	0
71	42	0
71	43	0
71	44	0
71	45	0
71	46	0
71	47	0
71	48	0
71	49	0
71	50	0
71	51	0
71	52	0
71	53	0
71	54	0
71	55	0
71	56	0
71	57	0
71	58	0
71	59	0
71	60	0
71	61	0
71	62	0
71	63	0
71	64	0
71	65	0
71	66	0
71	67	0
71	68	0
71	69	0
71	70	0
71	71	0
